H2Hs,Opponent,W,L,Win%,TB,TBW,TBL,TB%,First Match,Last Match,MS,DR,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,BPSvd%,BPCnv%
1,Gianluca Mager [ITA],1,0,100.0%,0,0,0,,31‑May‑2021,31‑May‑2021,1,1.53,8.2%,0.0%,60.8%,76.3%,71.1%,74.2%,39.3%,50.0%,45.5%
1,Alexei Popyrin [AUS],0,1,0.0%,1,0,1,0.0%,3‑May‑2021,3‑May‑2021,1,0.85,0.0%,3.0%,56.7%,63.2%,41.4%,53.7%,39.2%,33.3%,40.0%
1,Guido Pella [ARG],1,0,100.0%,0,0,0,,3‑May‑2021,3‑May‑2021,1,1.83,14.6%,2.4%,63.4%,80.8%,66.7%,75.6%,44.7%,0.0%,60.0%
1,Albert Ramos [ESP],1,0,100.0%,0,0,0,,12‑Apr‑2021,12‑Apr‑2021,1,1.36,7.1%,1.8%,58.9%,78.8%,52.2%,67.9%,43.9%,66.7%,50.0%
1,Gregoire Barrere [FRA],1,0,100.0%,2,1,1,50.0%,8‑Mar‑2021,8‑Mar‑2021,1,0.95,4.6%,0.8%,67.7%,63.6%,59.5%,62.3%,35.7%,76.9%,44.4%
1,Denis Shapovalov [CAN],0,1,0.0%,0,0,0,,8‑Feb‑2021,8‑Feb‑2021,1,0.96,2.8%,2.8%,70.3%,66.7%,55.8%,63.4%,35.0%,50.0%,15.0%
1,Stefano Travaglia [ITA],1,0,100.0%,1,1,0,100.0%,1‑Feb‑2021,1‑Feb‑2021,1,1.19,0.0%,1.2%,55.4%,56.5%,64.9%,60.2%,47.4%,70.0%,57.1%
1,Vasek Pospisil [CAN],1,0,100.0%,1,1,0,100.0%,9‑Nov‑2020,9‑Nov‑2020,1,0.97,4.3%,5.4%,65.2%,75.0%,56.3%,68.5%,30.6%,60.0%,40.0%
1,Gilles Simon [FRA],1,0,100.0%,0,0,0,,19‑Oct‑2020,19‑Oct‑2020,1,1.05,1.0%,2.0%,65.3%,59.1%,48.6%,55.4%,46.8%,76.2%,80.0%
1,Federico Coria [ARG],1,0,100.0%,0,0,0,,28‑Sep‑2020,28‑Sep‑2020,1,1.22,0.0%,2.0%,67.0%,64.2%,51.5%,60.0%,48.6%,55.6%,58.3%
1,Denis Kudla [USA],0,1,0.0%,1,1,0,100.0%,2‑Mar‑2020,2‑Mar‑2020,1,1.04,4.5%,1.1%,55.7%,71.4%,53.8%,63.6%,37.7%,28.6%,8.3%
1,Sebastian Ofner [AUT],1,0,100.0%,0,0,0,,11‑Nov‑2019,11‑Nov‑2019,1,1.79,12.8%,4.3%,63.8%,83.3%,58.8%,74.5%,45.7%,50.0%,33.3%
1,Federico Gaio [ITA],1,0,100.0%,0,0,0,,11‑Nov‑2019,11‑Nov‑2019,1,1.47,16.1%,3.6%,51.8%,75.9%,66.7%,71.4%,42.0%,75.0%,42.9%
1,Mathias Bourgue [FRA],0,1,0.0%,1,0,1,0.0%,7‑Oct‑2019,7‑Oct‑2019,1,1.24,8.0%,0.0%,66.7%,69.0%,69.0%,69.0%,38.6%,42.9%,17.4%
1,Marius Copil [ROU],1,0,100.0%,0,0,0,,7‑Oct‑2019,7‑Oct‑2019,1,1.06,6.2%,3.1%,58.8%,68.4%,47.5%,59.8%,42.7%,62.5%,38.5%
1,Mikhail Kukushkin [KAZ],0,1,0.0%,1,0,1,0.0%,16‑Sep‑2019,16‑Sep‑2019,1,1.05,9.8%,3.3%,68.9%,71.4%,47.4%,63.9%,37.8%,40.0%,18.2%
1,Mario Vilella Martinez [ESP],1,0,100.0%,1,1,0,100.0%,26‑Aug‑2019,26‑Aug‑2019,1,2.09,8.3%,6.3%,50.0%,95.8%,58.3%,77.1%,47.8%,0.0%,40.0%
1,Matteo Viola [ITA],1,0,100.0%,0,0,0,,26‑Aug‑2019,26‑Aug‑2019,1,1.82,2.3%,9.1%,40.9%,72.2%,53.8%,61.4%,70.3%,50.0%,85.7%
1,Jc Aragone [USA],1,0,100.0%,0,0,0,,29‑Jul‑2019,29‑Jul‑2019,1,1.51,10.9%,7.3%,50.9%,89.3%,51.9%,70.9%,43.9%,100.0%,75.0%
1,Duck Hee Lee [KOR],1,0,100.0%,0,0,0,,29‑Jul‑2019,29‑Jul‑2019,1,1.20,5.6%,2.2%,55.6%,76.0%,40.0%,60.0%,48.1%,62.5%,46.2%
1,Alexey Zakharov [RUS],1,0,100.0%,0,0,0,,29‑Jul‑2019,29‑Jul‑2019,1,1.34,7.7%,5.1%,48.7%,76.3%,57.5%,66.7%,44.6%,66.7%,45.5%
1,Mitchell Krueger [USA],0,1,0.0%,0,0,0,,22‑Jul‑2019,22‑Jul‑2019,1,1.03,12.3%,4.1%,50.7%,83.8%,41.7%,63.0%,38.3%,20.0%,50.0%
1,Tomas Barrios Vera [CHI],1,0,100.0%,0,0,0,,22‑Jul‑2019,22‑Jul‑2019,1,1.30,15.7%,2.2%,61.8%,70.9%,58.8%,66.3%,44.0%,50.0%,23.5%
1,Pedro Sousa [POR],1,0,100.0%,0,0,0,,15‑Jul‑2019,15‑Jul‑2019,1,0.93,1.1%,4.6%,52.9%,73.9%,43.9%,59.8%,37.3%,42.9%,66.7%
1,Nicolas Jarry [CHI],0,1,0.0%,1,0,1,0.0%,10‑Jun‑2019,10‑Jun‑2019,1,0.84,1.7%,3.4%,60.3%,57.1%,65.2%,60.3%,33.3%,0.0%,66.7%
1,Thomas Fabbiano [ITA],1,0,100.0%,0,0,0,,10‑Jun‑2019,10‑Jun‑2019,1,1.32,8.3%,0.0%,68.3%,68.3%,52.6%,63.3%,48.6%,50.0%,30.8%
1,Lukas Lacko [SVK],1,0,100.0%,2,1,1,50.0%,10‑Jun‑2019,10‑Jun‑2019,1,1.24,11.8%,4.9%,55.9%,77.2%,53.3%,66.7%,41.2%,50.0%,50.0%
1,Steven Diez [CAN],1,0,100.0%,0,0,0,,29‑Apr‑2019,29‑Apr‑2019,1,1.16,5.2%,2.1%,47.4%,65.2%,54.9%,59.8%,46.7%,70.0%,38.5%
1,Jiri Vesely [CZE],1,0,100.0%,1,1,0,100.0%,29‑Apr‑2019,29‑Apr‑2019,1,1.18,4.1%,4.1%,51.4%,60.5%,63.9%,62.2%,44.6%,66.7%,50.0%
1,Dominik Koepfer [GER],1,0,100.0%,0,0,0,,29‑Apr‑2019,29‑Apr‑2019,1,1.52,3.8%,0.0%,52.8%,75.0%,48.0%,62.3%,57.4%,75.0%,60.0%
1,Attila Balazs [HUN],1,0,100.0%,1,1,0,100.0%,29‑Apr‑2019,29‑Apr‑2019,1,1.20,0.0%,2.6%,51.9%,67.5%,48.6%,58.4%,50.0%,55.6%,38.5%
1,Mate Valkusz [HUN],1,0,100.0%,0,0,0,,22‑Apr‑2019,22‑Apr‑2019,1,0.98,1.5%,2.9%,52.9%,66.7%,31.3%,50.0%,48.8%,25.0%,40.0%
1,Yannick Maden [GER],0,1,0.0%,0,0,0,,22‑Apr‑2019,22‑Apr‑2019,1,0.83,3.5%,1.8%,47.4%,63.0%,46.7%,54.4%,37.8%,50.0%,14.3%
1,Andrea Arnaboldi [ITA],0,1,0.0%,0,0,0,,8‑Apr‑2019,8‑Apr‑2019,1,0.80,1.9%,3.7%,64.8%,60.0%,47.4%,55.6%,35.5%,33.3%,100.0%
1,Gian Marco Moroni [ITA],1,0,100.0%,0,0,0,,8‑Apr‑2019,8‑Apr‑2019,1,1.08,4.3%,1.4%,58.0%,62.5%,51.7%,58.0%,45.2%,33.3%,35.7%
1,Andrea Pellegrino [ITA],1,0,100.0%,0,0,0,,25‑Mar‑2019,25‑Mar‑2019,0,,,,,,,,,,
1,Fabrizio Ornago [ITA],1,0,100.0%,0,0,0,,25‑Mar‑2019,25‑Mar‑2019,0,,,,,,,,,,
1,Ronald Slobodchikov [RUS],1,0,100.0%,1,1,0,100.0%,25‑Mar‑2019,25‑Mar‑2019,0,,,,,,,,,,
