H2Hs,Opponent,W,L,Win%,TB,TBW,TBL,TB%,First Match,Last Match,MS,DR,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,BPSvd%,BPCnv%
4,Frances Tiafoe [USA],3,1,75.0%,0,0,0,,14‑Oct‑2019,23‑Oct‑2023,4,1.16,12.7%,3.4%,64.3%,78.6%,51.9%,69.1%,35.7%,76.2%,45.5%
4,Diego Schwartzman [ARG],4,0,100.0%,0,0,0,,18‑Oct‑2021,3‑Jul‑2023,4,1.84,12.3%,3.3%,55.7%,75.4%,63.8%,70.3%,54.6%,73.3%,66.7%
4,Alexander Bublik [KAZ],3,1,75.0%,2,2,0,100.0%,15‑Mar‑2021,19‑Jun‑2023,4,1.17,5.6%,2.8%,62.5%,70.1%,62.8%,67.3%,38.1%,55.6%,34.6%
4,Francisco Cerundolo [ARG],2,2,50.0%,1,1,0,100.0%,21‑Mar‑2022,8‑May‑2023,3,0.90,3.0%,0.0%,65.5%,62.0%,49.1%,57.6%,38.2%,47.4%,50.0%
4,Laslo Djere [SRB],2,2,50.0%,0,0,0,,22‑Apr‑2019,20‑Mar‑2023,4,1.03,2.9%,3.4%,51.7%,68.3%,51.3%,60.1%,41.1%,60.0%,41.7%
4,Marton Fucsovics [HUN],2,2,50.0%,0,0,0,,20‑Jan‑2020,16‑Jan‑2023,4,1.04,2.3%,3.8%,56.8%,67.8%,42.9%,57.0%,44.7%,53.1%,50.0%
4,Aljaz Bedene [SLO],1,3,25.0%,3,1,2,33.3%,15‑Jul‑2019,22‑Feb‑2021,4,1.01,7.7%,1.8%,61.2%,71.4%,57.9%,66.2%,34.0%,70.8%,30.0%
4,Tristan Lamasine [FRA],3,1,75.0%,1,0,1,0.0%,18‑Feb‑2019,7‑Oct‑2019,4,1.28,6.1%,3.0%,57.4%,68.2%,58.2%,63.9%,46.3%,65.2%,57.1%
3,Jan Lennard Struff [GER],3,0,100.0%,2,1,1,50.0%,4‑Mar‑2024,17‑Jun‑2024,3,1.62,12.3%,2.6%,64.1%,84.8%,61.4%,76.4%,38.2%,80.0%,26.7%
3,Richard Gasquet [FRA],3,0,100.0%,1,1,0,100.0%,6‑Mar‑2023,27‑May‑2024,2,1.36,12.6%,1.9%,52.2%,83.1%,53.9%,69.2%,42.0%,71.4%,20.8%
3,Sebastian Korda [USA],2,1,66.7%,2,2,0,100.0%,2‑Aug‑2021,8‑Apr‑2024,3,1.14,7.3%,5.0%,54.7%,75.5%,49.4%,63.7%,41.5%,52.9%,39.1%
3,Mackenzie Mcdonald [USA],3,0,100.0%,2,1,1,50.0%,2‑Aug‑2021,30‑Oct‑2023,2,1.41,4.2%,2.1%,57.1%,79.6%,60.5%,71.4%,40.3%,77.8%,35.0%
3,Tommy Paul [USA],2,1,66.7%,2,1,1,50.0%,2‑May‑2022,7‑Aug‑2023,3,1.12,6.7%,3.9%,52.4%,75.9%,56.2%,66.5%,37.3%,63.2%,33.3%
3,Adrian Mannarino [FRA],3,0,100.0%,1,1,0,100.0%,9‑Nov‑2020,6‑Mar‑2023,3,1.13,13.3%,5.2%,52.6%,80.2%,59.0%,70.1%,33.7%,71.4%,85.7%
3,Benjamin Bonzi [FRA],3,0,100.0%,1,1,0,100.0%,28‑Sep‑2020,13‑Feb‑2023,3,1.20,7.7%,1.1%,62.7%,70.8%,51.9%,63.7%,43.5%,61.1%,33.3%
3,Pablo Carreno Busta [ESP],1,2,33.3%,1,0,1,0.0%,10‑Feb‑2020,8‑Aug‑2022,3,0.92,9.4%,1.3%,58.6%,73.3%,47.2%,62.5%,34.6%,69.0%,33.3%
3,John Isner [USA],2,1,66.7%,2,1,1,50.0%,16‑Aug‑2021,27‑Jun‑2022,3,1.58,6.1%,3.1%,57.0%,83.8%,65.3%,75.9%,38.0%,85.7%,53.3%
3,Steve Johnson [USA],3,0,100.0%,0,0,0,,13‑May‑2019,17‑Jan‑2022,3,1.40,10.5%,3.0%,60.5%,80.2%,55.7%,70.5%,41.2%,62.5%,57.1%
3,Arthur Rinderknech [FRA],2,1,66.7%,2,2,0,100.0%,17‑May‑2021,3‑Jan‑2022,3,1.19,6.1%,2.8%,61.2%,75.6%,55.4%,67.8%,38.4%,55.6%,37.5%
3,Max Purcell [AUS],3,0,100.0%,1,1,0,100.0%,20‑Jan‑2020,3‑Jan‑2022,3,1.50,8.3%,2.1%,58.8%,78.7%,56.6%,69.6%,45.6%,64.3%,43.2%
3,James Duckworth [AUS],2,1,66.7%,1,1,0,100.0%,19‑Oct‑2020,27‑Sep‑2021,3,1.15,4.6%,3.1%,61.3%,76.5%,42.7%,63.4%,42.0%,54.5%,56.3%
3,Rafael Nadal [ESP],0,3,0.0%,1,0,1,0.0%,28‑Sep‑2020,31‑May‑2021,3,0.71,1.2%,3.6%,62.8%,52.9%,42.4%,49.0%,36.1%,45.9%,50.0%
3,Roberto Bautista Agut [ESP],3,0,100.0%,1,1,0,100.0%,15‑Mar‑2021,19‑Apr‑2021,3,1.01,9.3%,1.7%,65.3%,70.5%,47.5%,62.5%,37.7%,70.8%,64.7%
3,Lucas Miedler [AUT],3,0,100.0%,3,3,0,100.0%,18‑Feb‑2019,11‑Nov‑2019,3,1.51,15.4%,1.9%,64.9%,78.5%,60.3%,72.1%,42.1%,85.7%,33.3%
2,Matteo Berrettini [ITA],2,0,100.0%,3,3,0,100.0%,7‑Aug‑2023,1‑Jul‑2024,2,1.27,10.1%,2.0%,65.2%,82.2%,53.6%,72.2%,35.4%,71.4%,28.6%
2,Yannick Hanfmann [GER],2,0,100.0%,0,0,0,,28‑Aug‑2023,1‑Jul‑2024,2,1.37,10.5%,3.0%,57.0%,78.9%,53.5%,68.0%,43.9%,86.7%,50.0%
2,Pavel Kotov [RUS],2,0,100.0%,0,0,0,,22‑Apr‑2024,27‑May‑2024,1,1.33,5.3%,0.0%,66.7%,71.1%,47.4%,63.2%,49.2%,50.0%,46.2%
2,Christopher Eubanks [USA],2,0,100.0%,1,1,0,100.0%,29‑Aug‑2022,27‑May‑2024,1,1.64,13.6%,4.5%,54.5%,85.4%,62.5%,75.0%,41.1%,75.0%,33.3%
2,Christopher Oconnell [AUS],1,1,50.0%,1,0,1,0.0%,26‑Jul‑2021,18‑Mar‑2024,2,1.29,5.7%,3.3%,61.0%,78.7%,60.4%,71.5%,36.8%,60.0%,50.0%
2,Jiri Lehecka [CZE],2,0,100.0%,0,0,0,,29‑Apr‑2019,4‑Mar‑2024,2,1.39,5.9%,5.9%,54.6%,78.5%,50.0%,65.5%,48.1%,77.8%,36.4%
2,Botic Van De Zandschulp [NED],2,0,100.0%,0,0,0,,15‑Jan‑2024,12‑Feb‑2024,2,1.52,8.1%,3.0%,61.5%,75.9%,63.5%,71.1%,43.8%,88.9%,34.8%
2,Sebastian Baez [ARG],2,0,100.0%,0,0,0,,2‑Oct‑2023,15‑Jan‑2024,2,1.45,9.0%,0.0%,60.6%,79.8%,50.8%,68.4%,45.9%,87.5%,62.5%
2,Yoshihito Nishioka [JPN],2,0,100.0%,0,0,0,,17‑Apr‑2023,27‑Sep‑2023,2,1.50,10.3%,2.6%,45.7%,81.1%,47.6%,62.9%,55.6%,45.5%,51.9%
2,Roman Safiullin [RUS],2,0,100.0%,1,1,0,100.0%,3‑Jan‑2022,3‑Jul‑2023,2,1.25,14.0%,2.2%,57.9%,79.6%,52.0%,68.0%,40.0%,82.4%,47.1%
2,Daniel Elahi Galan [COL],2,0,100.0%,1,1,0,100.0%,27‑Nov‑2021,3‑Jul‑2023,2,1.68,9.4%,0.7%,52.5%,80.8%,65.2%,73.4%,44.7%,57.1%,33.3%
2,Daniel Altmaier [GER],1,1,50.0%,3,1,2,33.3%,29‑Aug‑2022,29‑May‑2023,2,1.24,8.8%,2.6%,58.1%,72.1%,59.7%,66.9%,41.1%,55.6%,36.1%
2,Lorenzo Musetti [ITA],2,0,100.0%,0,0,0,,18‑Oct‑2021,10‑Apr‑2023,2,1.72,2.8%,0.9%,51.9%,78.6%,67.3%,73.1%,46.3%,100.0%,53.8%
2,Taylor Fritz [USA],1,1,50.0%,0,0,0,,4‑Oct‑2021,6‑Mar‑2023,2,0.98,3.3%,3.3%,58.2%,73.0%,40.6%,59.5%,39.8%,53.3%,35.3%
2,Maxime Cressy [USA],2,0,100.0%,2,1,1,50.0%,29‑Jul‑2019,6‑Feb‑2023,2,1.38,8.4%,2.6%,59.7%,82.6%,62.9%,74.7%,35.1%,80.0%,35.7%
2,Kyle Edmund [GBR],2,0,100.0%,0,0,0,,2‑Jan‑2023,16‑Jan‑2023,2,2.03,8.9%,2.4%,64.2%,84.8%,56.8%,74.8%,51.2%,83.3%,71.4%
2,Marc Andrea Huesler [SUI],1,1,50.0%,0,0,0,,9‑Nov‑2020,31‑Oct‑2022,2,0.96,7.3%,4.5%,52.7%,79.3%,50.0%,65.5%,33.3%,42.9%,25.0%
2,Aleksandar Vukic [AUS],2,0,100.0%,0,0,0,,1‑Feb‑2021,26‑Sep‑2022,2,1.73,12.8%,4.6%,57.8%,79.4%,63.0%,72.5%,47.6%,85.7%,70.0%
2,Felix Auger Aliassime [CAN],0,2,0.0%,1,0,1,0.0%,2‑May‑2022,15‑Aug‑2022,2,0.68,3.2%,3.2%,60.6%,56.4%,54.1%,55.5%,30.1%,56.3%,37.5%
2,Roberto Carballes Baena [ESP],2,0,100.0%,1,1,0,100.0%,23‑May‑2022,25‑Jul‑2022,2,1.21,8.6%,2.5%,56.3%,72.1%,55.8%,65.0%,42.4%,64.3%,28.6%
2,Bjorn Fratangelo [USA],1,1,50.0%,1,0,1,0.0%,5‑Aug‑2019,23‑May‑2022,2,1.17,10.7%,4.0%,61.3%,69.6%,56.9%,64.7%,41.3%,66.7%,50.0%
2,Filip Krajinovic [SRB],2,0,100.0%,1,1,0,100.0%,27‑Sep‑2021,9‑May‑2022,2,1.25,15.9%,2.4%,54.0%,79.4%,51.7%,66.7%,41.8%,40.0%,63.6%
2,Norbert Gombos [SVK],2,0,100.0%,1,1,0,100.0%,17‑Feb‑2020,4‑Mar‑2022,2,1.06,10.8%,1.8%,63.3%,77.1%,50.8%,67.5%,34.6%,75.0%,44.4%
2,Andy Murray [GBR],1,1,50.0%,1,0,1,0.0%,8‑Nov‑2021,21‑Feb‑2022,2,1.10,7.6%,1.5%,57.6%,78.9%,48.2%,65.9%,37.5%,66.7%,27.3%
2,Joao Sousa [POR],1,1,50.0%,1,1,0,100.0%,17‑Jun‑2019,17‑Jan‑2022,2,1.07,4.7%,2.8%,59.0%,68.8%,55.2%,63.2%,39.5%,66.7%,46.7%
2,Casper Ruud [NOR],2,0,100.0%,1,1,0,100.0%,26‑Oct‑2020,25‑Oct‑2021,2,1.37,11.9%,3.7%,61.5%,75.9%,53.8%,67.4%,44.6%,71.4%,36.8%
2,Egor Gerasimov [BLR],2,0,100.0%,1,1,0,100.0%,19‑Apr‑2021,27‑Sep‑2021,2,1.52,7.8%,1.7%,58.6%,80.9%,56.3%,70.7%,44.4%,90.9%,53.8%
2,Pierre Hugues Herbert [FRA],2,0,100.0%,1,0,1,0.0%,19‑Oct‑2020,31‑May‑2021,2,1.26,3.4%,2.9%,63.6%,67.9%,56.0%,63.6%,45.8%,66.7%,77.8%
2,Aslan Karatsev [RUS],1,1,50.0%,1,1,0,100.0%,15‑Mar‑2021,17‑May‑2021,2,0.85,6.6%,3.0%,60.1%,61.3%,51.9%,57.6%,36.0%,66.7%,31.3%
2,Ugo Humbert [FRA],1,1,50.0%,0,0,0,,5‑Nov‑2019,10‑May‑2021,2,1.24,3.2%,0.8%,60.5%,76.0%,57.1%,68.5%,38.9%,20.0%,27.8%
2,Hugo Gaston [FRA],2,0,100.0%,0,0,0,,8‑Mar‑2021,22‑Mar‑2021,2,1.64,8.2%,3.1%,55.1%,85.2%,54.5%,71.4%,46.9%,87.5%,50.0%
2,David Goffin [BEL],2,0,100.0%,1,1,0,100.0%,10‑Feb‑2020,28‑Sep‑2020,2,1.40,4.3%,1.2%,66.0%,74.8%,50.9%,66.7%,46.8%,71.4%,52.6%
2,Benoit Paire [FRA],1,1,50.0%,0,0,0,,13‑Jan‑2020,14‑Sep‑2020,2,1.22,6.2%,2.1%,67.6%,72.4%,48.9%,64.8%,42.9%,76.9%,31.8%
2,Philipp Kohlschreiber [GER],2,0,100.0%,0,0,0,,21‑Oct‑2019,7‑Sep‑2020,2,1.48,10.2%,0.8%,59.3%,80.0%,52.1%,68.6%,46.4%,80.0%,43.8%
2,Salvatore Caruso [ITA],1,1,50.0%,0,0,0,,18‑Feb‑2019,24‑Aug‑2020,2,1.00,5.4%,3.6%,54.5%,72.5%,39.5%,57.5%,42.6%,40.0%,30.0%
2,Sem Verbeek [NED],2,0,100.0%,1,1,0,100.0%,5‑Aug‑2019,2‑Mar‑2020,2,1.74,4.0%,1.6%,64.3%,76.5%,71.1%,74.6%,44.1%,83.3%,41.2%
2,Antoine Hoang [FRA],2,0,100.0%,1,1,0,100.0%,20‑May‑2019,11‑Nov‑2019,2,1.34,5.3%,3.9%,51.3%,80.8%,63.5%,72.4%,36.9%,77.8%,54.5%
2,Roberto Marcora [ITA],2,0,100.0%,0,0,0,,18‑Feb‑2019,11‑Nov‑2019,2,1.61,8.9%,4.0%,55.4%,83.9%,60.0%,73.3%,43.0%,,46.2%
2,Kamil Majchrzak [POL],1,1,50.0%,0,0,0,,29‑Apr‑2019,14‑Oct‑2019,2,0.91,3.0%,3.0%,56.6%,58.9%,44.2%,52.5%,43.1%,50.0%,41.7%
2,Lukas Rosol [CZE],2,0,100.0%,1,0,1,0.0%,22‑Apr‑2019,7‑Oct‑2019,2,1.32,9.5%,2.7%,61.9%,80.2%,50.0%,68.7%,41.4%,77.8%,40.0%
2,Viktor Galovic [ITA],2,0,100.0%,1,1,0,100.0%,18‑Feb‑2019,26‑Aug‑2019,2,1.02,7.5%,5.0%,54.2%,75.2%,44.6%,61.2%,39.7%,63.6%,34.8%
2,Alex Bolt [AUS],1,1,50.0%,0,0,0,,1‑Jul‑2019,29‑Jul‑2019,2,1.03,12.7%,5.2%,57.2%,75.6%,46.9%,63.3%,37.8%,62.5%,23.3%
1,Zhizhen Zhang [CHN],1,0,100.0%,1,1,0,100.0%,17‑Jun‑2024,17‑Jun‑2024,1,1.38,12.1%,1.5%,65.2%,81.4%,60.9%,74.2%,35.6%,100.0%,100.0%
1,Fabian Marozsan [HUN],1,0,100.0%,1,0,1,0.0%,17‑Jun‑2024,17‑Jun‑2024,1,1.19,12.9%,2.2%,64.5%,75.0%,51.5%,66.7%,39.6%,0.0%,26.7%
1,Corentin Moutet [FRA],1,0,100.0%,0,0,0,,27‑May‑2024,27‑May‑2024,0,,,,,,,,,,
1,Tomas Machac [CZE],1,0,100.0%,0,0,0,,18‑Mar‑2024,18‑Mar‑2024,1,1.69,6.0%,4.0%,60.0%,76.7%,65.0%,72.0%,47.2%,0.0%,36.4%
1,Andrea Vavassori [ITA],1,0,100.0%,0,0,0,,18‑Mar‑2024,18‑Mar‑2024,1,1.53,5.8%,5.8%,69.2%,91.7%,43.8%,76.9%,35.3%,,50.0%
1,Milos Raonic [CAN],1,0,100.0%,1,1,0,100.0%,12‑Feb‑2024,12‑Feb‑2024,1,0.89,6.7%,0.0%,71.1%,81.3%,53.8%,73.3%,23.7%,75.0%,100.0%
1,Jesper De Jong [NED],1,0,100.0%,0,0,0,,15‑Jan‑2024,15‑Jan‑2024,1,2.83,12.1%,1.7%,63.8%,86.5%,76.2%,82.8%,48.8%,,50.0%
1,Marcos Giron [USA],1,0,100.0%,1,1,0,100.0%,2‑Oct‑2023,2‑Oct‑2023,1,1.70,6.6%,3.3%,70.5%,79.1%,55.6%,72.1%,47.4%,33.3%,50.0%
1,Daniel Evans [GBR],1,0,100.0%,1,0,1,0.0%,27‑Sep‑2023,27‑Sep‑2023,1,1.11,11.0%,2.0%,55.0%,67.3%,62.2%,65.0%,39.0%,50.0%,66.7%
