Surface,Outcome_raw,Outcome,DR,A%,DF%,1stIn,1st%,2nd%,DR,TPW,RPW,vA%,v1st%,v2nd%
Hard,(1)Sinner d. Botic Van De Zandschulp [NED],W,2.05,8.5%,4.3%,68.1%,87.5%,60.0%,2.05,57.6%,43.7%,7.0%,30.4%,68.0%
Hard,(4)Sinner d. (3)Daniil Medvedev [RUS],W,0.99,9.7%,3.5%,61.1%,73.9%,53.6%,0.99,50.2%,33.8%,7.9%,24.2%,54.5%
Hard,(4)Sinner d. (1)Novak Djokovic [SRB],W,1.56,8.2%,0.9%,58.2%,82.8%,63.0%,1.56,56.6%,39.7%,6.0%,32.9%,54.1%
Hard,(4)Sinner d. (5)Andrey Rublev [RUS],W,1.10,8.5%,2.6%,64.1%,76.0%,52.4%,1.10,52.8%,35.6%,9.9%,23.9%,63.3%
Hard,(4)Sinner d. (15)Karen Khachanov [RUS],W,1.31,8.2%,3.1%,53.6%,78.8%,57.8%,1.31,55.3%,40.7%,7.7%,34.4%,53.3%
Hard,(4)Sinner d. (26)Sebastian Baez [ARG],W,1.72,8.6%,0.0%,64.3%,77.8%,52.0%,1.72,61.1%,54.1%,2.7%,46.3%,75.0%
Hard,(4)Sinner d. (Q)Jesper De Jong [NED],W,2.83,12.1%,1.7%,63.8%,86.5%,76.2%,2.83,63.0%,48.8%,7.5%,42.0%,60.0%
Hard,(4)Sinner d. Botic Van De Zandschulp [NED],W,1.33,8.0%,2.3%,58.0%,68.6%,64.9%,1.33,54.4%,43.9%,7.5%,34.8%,60.5%
Hard,Sinner d. Alex De Minaur [AUS],W,1.58,10.4%,2.1%,70.8%,73.5%,50.0%,1.58,59.0%,52.6%,3.5%,45.5%,62.5%
Hard,Sinner d. Novak Djokovic [SRB],W,0.82,11.4%,4.8%,63.8%,71.6%,44.7%,0.82,48.9%,31.2%,7.8%,23.9%,41.9%
Hard,Sinner d. Tallon Griekspoor [NED],W,3.19,18.0%,2.0%,64.0%,90.6%,83.3%,3.19,60.9%,38.3%,11.7%,38.1%,38.9%
Hard,(1)Novak Djokovic [SRB] d. (4)Sinner,L,0.38,10.8%,1.4%,66.2%,57.1%,48.0%,0.38,40.0%,17.4%,28.3%,9.4%,35.7%
Hard,(4)Sinner d. (3)Daniil Medvedev [RUS],W,1.15,9.6%,1.9%,57.7%,83.3%,47.7%,1.15,53.6%,36.4%,11.4%,20.0%,63.6%
Hard,(4)Sinner d. (1)Novak Djokovic [SRB],W,0.89,12.7%,1.7%,60.2%,78.9%,55.3%,0.89,50.0%,27.0%,20.0%,19.0%,40.5%
Hard,(4)Sinner d. Stefanos Tsitsipas [GRE],W,1.76,17.6%,3.9%,70.6%,88.9%,60.0%,1.76,55.4%,34.4%,9.8%,29.7%,41.7%
Hard,(4)Sinner d. (8)Holger Rune [DEN],W,1.51,13.1%,0.0%,58.3%,83.7%,60.0%,1.51,54.4%,39.4%,13.8%,28.6%,59.0%
Hard,(13)Alex De Minaur [AUS] d. (4)Sinner,L,,,,,,,,,,,,
Hard,(4)Sinner d. Mackenzie Mcdonald [USA],W,1.65,4.8%,2.4%,57.8%,85.4%,65.7%,1.65,56.6%,37.8%,8.9%,36.7%,40.0%
Hard,(2)Sinner d. (1)Daniil Medvedev [RUS],W,1.08,4.2%,0.0%,72.9%,64.0%,50.0%,1.08,51.2%,43.2%,9.8%,35.2%,59.1%
Hard,(2)Sinner d. (3)Andrey Rublev [RUS],W,1.31,13.7%,5.5%,61.6%,82.2%,53.6%,1.31,54.0%,37.7%,5.2%,29.1%,59.1%
Hard,(2)Sinner d. (7)Frances Tiafoe [USA],W,1.96,9.1%,1.8%,69.1%,84.2%,70.6%,1.96,59.5%,39.3%,10.7%,35.5%,44.0%
Hard,(2)Sinner d. (LL)Lorenzo Sonego [ITA],W,1.49,1.7%,0.0%,82.8%,72.9%,60.0%,1.49,56.6%,43.8%,9.4%,39.0%,52.2%
Hard,(2)Sinner d. Ben Shelton [USA],W,1.46,11.3%,1.4%,80.3%,84.2%,57.1%,1.46,53.7%,30.8%,14.1%,13.6%,52.9%
Hard,(19)Ben Shelton [USA] d. (6)Sinner,L,0.96,8.2%,1.0%,73.2%,69.0%,53.8%,0.96,49.0%,33.7%,14.9%,27.0%,51.9%
Hard,(6)Sinner d. (25)Sebastian Baez [ARG],W,1.18,9.4%,0.0%,57.6%,81.6%,50.0%,1.18,54.1%,37.5%,6.9%,30.8%,55.0%
Hard,(6)Sinner d. Marcos Giron [USA],W,1.70,6.6%,3.3%,70.5%,79.1%,55.6%,1.70,58.3%,47.4%,2.6%,29.5%,70.6%
Hard,(6)Sinner d. (2)Daniil Medvedev [RUS],W,1.44,4.0%,0.0%,68.0%,82.4%,70.8%,1.44,54.2%,30.8%,7.7%,24.6%,47.6%
Hard,(6)Sinner d. (1)Carlos Alcaraz [ESP],W,1.19,1.3%,0.0%,58.7%,65.9%,48.4%,1.19,54.3%,49.2%,6.3%,40.0%,72.2%
Hard,(6)Sinner d. Grigor Dimitrov [BUL],W,1.16,3.5%,1.2%,58.8%,68.0%,65.7%,1.16,51.6%,38.1%,2.1%,29.8%,50.0%
Hard,(6)Sinner d. (SE)Yoshihito Nishioka [JPN],W,1.95,18.6%,2.3%,48.8%,90.5%,50.0%,1.95,63.8%,58.8%,0.0%,60.6%,55.6%
Hard,(6)Sinner d. Daniel Evans [GBR],W,1.11,11.0%,2.0%,55.0%,67.3%,62.2%,1.11,52.0%,39.0%,2.0%,36.0%,42.0%
Hard,(12)Alexander Zverev [GER] d. (6)Sinner,L,0.91,7.5%,4.4%,53.8%,68.6%,50.0%,0.91,48.1%,36.4%,9.9%,30.1%,51.0%
Hard,(6)Sinner d. Stan Wawrinka [SUI],W,1.11,9.7%,4.0%,58.9%,72.6%,45.1%,1.11,52.8%,43.0%,7.5%,39.6%,46.3%
Hard,(6)Sinner d. Lorenzo Sonego [ITA],W,2.60,6.1%,1.5%,54.5%,88.9%,80.0%,2.60,58.7%,39.3%,4.5%,36.8%,43.8%
Hard,(6)Sinner d. Yannick Hanfmann [GER],W,1.68,6.8%,4.1%,55.4%,78.0%,60.6%,1.68,58.6%,50.0%,7.0%,42.9%,62.2%
Hard,(Q)Dusan Lajovic [SRB] d. (8)Sinner,L,0.88,7.5%,0.0%,51.2%,73.2%,56.4%,0.88,47.8%,30.9%,4.9%,24.1%,47.8%
Hard,(7)Sinner d. Alex De Minaur [AUS],W,1.64,9.6%,5.8%,50.0%,73.1%,57.7%,1.64,61.0%,56.6%,1.9%,53.6%,60.0%
Hard,(7)Sinner d. (12)Tommy Paul [USA],W,1.13,5.7%,4.3%,45.7%,78.1%,42.1%,1.13,53.0%,46.9%,4.7%,39.5%,61.9%
Hard,(7)Sinner d. (PR)Gael Monfils [FRA],W,1.02,5.6%,3.4%,49.4%,81.8%,46.7%,1.02,50.6%,36.8%,21.8%,19.6%,61.1%
Hard,(7)Sinner d. Andy Murray [GBR],W,,,,,,,,,,,,
Hard,(7)Sinner d. Matteo Berrettini [ITA],W,1.19,15.9%,3.2%,65.1%,82.9%,54.5%,1.19,54.9%,32.0%,20.0%,21.2%,52.9%
Grass,(2)Novak Djokovic [SRB] d. (8)Sinner,L,0.97,8.9%,3.3%,60.0%,75.9%,55.6%,0.97,47.5%,31.3%,9.8%,24.6%,40.4%
Grass,(8)Sinner d. Roman Safiullin [RUS],W,1.57,15.9%,2.3%,54.5%,89.6%,55.0%,1.57,56.0%,41.0%,7.6%,40.0%,42.5%
Grass,(8)Sinner d. Daniel Elahi Galan [COL],W,1.86,13.6%,1.1%,54.5%,85.4%,70.0%,1.86,55.8%,40.2%,9.4%,26.6%,62.5%
Grass,(8)Sinner d. Quentin Halys [FRA],W,1.39,9.2%,8.2%,49.0%,83.3%,62.0%,1.39,54.0%,38.3%,12.2%,24.6%,53.7%
Grass,(8)Sinner d. Diego Schwartzman [ARG],W,1.62,18.1%,1.2%,56.6%,80.9%,58.3%,1.62,59.1%,46.9%,1.2%,41.4%,60.9%
Grass,(8)Sinner d. Juan Manuel Cerundolo [ARG],W,3.19,12.1%,0.0%,69.0%,82.5%,88.9%,3.19,63.4%,49.4%,5.7%,44.4%,57.6%
Grass,Alexander Bublik [KAZ] d. (4)Sinner,L,0.63,5.4%,5.4%,59.5%,63.6%,40.0%,0.63,41.3%,28.9%,15.8%,19.2%,50.0%
Grass,(4)Sinner d. Lorenzo Sonego [ITA],W,1.18,9.4%,2.8%,61.3%,81.5%,53.7%,1.18,52.3%,34.5%,7.3%,29.2%,44.7%
Grass,(4)Sinner d. Richard Gasquet [FRA],W,1.30,11.8%,2.2%,51.6%,79.2%,53.3%,1.30,53.5%,43.4%,3.3%,36.7%,55.8%
Grass,Emil Ruusuvuori [FIN] d. (2)Sinner,L,0.57,5.3%,1.8%,66.7%,63.2%,52.6%,0.57,42.2%,23.1%,3.8%,0.0%,52.2%
Grass,(2)Sinner d. Alexander Bublik [KAZ],W,1.86,16.3%,0.0%,65.3%,84.4%,58.8%,1.86,57.1%,45.5%,11.7%,35.6%,59.4%
Clay,Daniel Altmaier [GER] d. (8)Sinner,L,1.06,5.9%,1.6%,58.8%,70.0%,54.5%,1.06,50.6%,38.7%,4.9%,31.0%,56.5%
Clay,(8)Sinner d. Alexandre Muller [FRA],W,1.84,7.1%,2.9%,57.1%,82.5%,60.0%,1.84,61.4%,50.0%,4.3%,48.8%,51.9%
Clay,(24)Francisco Cerundolo [ARG] d. (8)Sinner,L,0.78,2.3%,0.0%,69.0%,60.0%,40.7%,0.78,44.7%,35.9%,2.2%,29.6%,44.7%
Clay,(8)Sinner d. (LL)Alexander Shevchenko [KAZ],W,1.34,1.2%,1.2%,59.3%,70.8%,60.6%,1.34,54.8%,44.8%,4.2%,45.0%,44.4%
Clay,(8)Sinner d. (Q)Thanasi Kokkinakis [AUS],W,5.84,5.1%,0.0%,66.7%,96.2%,84.6%,5.84,65.9%,44.9%,6.1%,34.5%,60.0%
Clay,(9)Lorenzo Musetti [ITA] d. (4)Sinner,L,,,,,,,,,,,,
Clay,(4)Sinner d. (16)Yoshihito Nishioka [JPN],W,1.31,5.5%,2.7%,43.8%,75.0%,46.3%,1.31,56.0%,53.8%,0.0%,50.0%,59.0%
Clay,(4)Sinner d. Diego Schwartzman [ARG],W,1.42,1.7%,3.3%,60.0%,55.6%,66.7%,1.42,58.3%,56.7%,1.7%,52.9%,61.5%
Clay,(6)Holger Rune [DEN] d. (7)Sinner,L,0.96,0.0%,4.3%,56.0%,64.6%,56.9%,0.96,51.0%,37.2%,4.7%,32.1%,46.7%
Clay,(7)Sinner d. (16)Lorenzo Musetti [ITA],W,1.69,1.8%,0.0%,56.4%,77.4%,58.3%,1.69,61.9%,52.4%,2.4%,36.0%,76.5%
Clay,(7)Sinner d. (10)Hubert Hurkacz [POL],W,1.28,3.4%,3.4%,58.4%,75.0%,56.8%,1.28,52.9%,41.7%,13.0%,16.7%,69.1%
Clay,(7)Sinner d. Diego Schwartzman [ARG],W,3.85,8.0%,8.0%,48.0%,83.3%,76.9%,3.85,78.4%,76.9%,0.0%,71.4%,83.3%
Hard,(4)Daniil Medvedev [RUS] d. (10)Sinner,L,0.63,9.5%,0.0%,55.6%,68.6%,32.1%,0.63,41.3%,30.2%,14.3%,13.5%,53.8%
