Surface,Outcome_raw,Outcome,DR,A%,DF%,1stIn,1st%,2nd%,DR,TPW,RPW,vA%,v1st%,v2nd%
Clay,(11)Sinner d. Mackenzie Mcdonald [USA],W,1.27,3.8%,1.9%,56.6%,75.0%,56.5%,1.27,53.2%,42.0%,2.3%,39.2%,50.0%
Clay,(11)Sinner d. Roberto Carballes Baena [ESP],W,1.12,8.5%,2.3%,58.9%,67.1%,52.8%,1.12,51.8%,43.4%,1.4%,35.6%,56.4%
Clay,(11)Sinner d. (Q)Bjorn Fratangelo [USA],W,1.67,7.8%,2.6%,61.0%,78.7%,63.3%,1.67,58.2%,45.5%,2.3%,33.3%,64.7%
Clay,(4)Stefanos Tsitsipas [GRE] d. (10)Sinner,L,0.95,4.4%,2.9%,66.2%,73.3%,30.4%,0.95,47.2%,38.9%,10.5%,29.0%,57.6%
Clay,(10)Sinner d. Filip Krajinovic [SRB],W,0.98,18.6%,2.9%,54.3%,81.6%,43.8%,0.98,51.2%,35.1%,8.8%,28.2%,50.0%
Clay,(10)Sinner d. Fabio Fognini [ITA],W,1.23,2.8%,1.4%,46.5%,72.7%,55.3%,1.23,53.7%,44.9%,2.6%,36.1%,52.4%
Clay,(10)Sinner d. Pedro Martinez [ESP],W,1.31,7.0%,1.8%,61.4%,77.1%,54.5%,1.31,56.3%,41.3%,0.0%,36.4%,53.8%
Clay,(8)Felix Auger Aliassime [CAN] d. (10)Sinner,L,0.38,1.6%,1.6%,67.7%,47.6%,50.0%,0.38,36.9%,19.5%,12.2%,10.3%,41.7%
Clay,(10)Sinner d. Alex De Minaur [AUS],W,1.50,2.0%,6.0%,60.0%,70.0%,55.0%,1.50,59.2%,54.2%,2.1%,46.9%,68.8%
Clay,(10)Sinner d. Tommy Paul [USA],W,1.22,7.4%,2.8%,59.3%,71.9%,65.9%,1.22,52.4%,37.2%,0.8%,26.3%,55.6%
Clay,(2)Alexander Zverev [GER] d. (9)Sinner,L,0.91,3.0%,3.0%,55.0%,72.7%,37.8%,0.91,47.4%,38.9%,4.4%,31.3%,57.6%
Clay,(9)Sinner d. (5)Andrey Rublev [RUS],W,1.30,7.1%,2.4%,56.5%,70.8%,51.4%,1.30,55.1%,49.0%,0.0%,40.0%,65.7%
Clay,(9)Sinner d. (Q)Emil Ruusuvuori [FIN],W,1.03,3.9%,3.9%,53.9%,65.9%,48.6%,1.03,51.5%,43.3%,3.3%,35.6%,66.7%
Clay,(9)Sinner d. (PR)Borna Coric [CRO],W,1.22,5.6%,6.7%,55.6%,78.0%,50.0%,1.22,53.5%,42.1%,2.1%,41.5%,42.9%
Hard,Francisco Cerundolo [ARG] d. (9)Sinner,L,0.65,7.7%,0.0%,46.2%,66.7%,42.9%,0.65,39.4%,30.0%,15.0%,26.7%,40.0%
Hard,(9)Sinner d. (WC)Nick Kyrgios [AUS],W,1.27,11.4%,5.7%,65.7%,82.6%,45.8%,1.27,53.9%,38.0%,9.9%,31.1%,50.0%
Hard,(9)Sinner d. (17)Pablo Carreno Busta [ESP],W,0.98,10.7%,0.7%,60.7%,67.1%,49.1%,0.98,51.7%,39.4%,3.2%,32.2%,51.4%
Hard,(9)Sinner d. Emil Ruusuvuori [FIN],W,0.95,3.0%,2.0%,62.4%,77.8%,39.5%,0.95,49.2%,34.7%,4.1%,31.8%,40.6%
Hard,(WC)Nick Kyrgios [AUS] d. (10)Sinner,L,,,,,,,,,,,,
Hard,(10)Sinner d. Benjamin Bonzi [FRA],W,0.96,10.6%,0.9%,61.9%,71.4%,41.9%,0.96,49.5%,38.1%,4.8%,34.5%,42.0%
Hard,(10)Sinner d. Laslo Djere [SRB],W,1.50,3.6%,5.5%,45.5%,76.0%,63.3%,1.50,56.6%,46.3%,6.0%,38.1%,60.0%
Hard,Sinner d. Norbert Gombos [SVK],W,1.04,11.0%,1.2%,72.0%,76.3%,47.8%,1.04,50.0%,33.0%,3.4%,28.1%,45.8%
Hard,Sinner d. Filip Horansky [SVK],W,1.88,11.5%,0.0%,63.5%,81.8%,73.7%,1.88,56.7%,39.7%,4.4%,43.8%,30.0%
Hard,(5)Hubert Hurkacz [POL] d. (4)Sinner,L,0.64,6.7%,1.7%,70.0%,71.4%,27.8%,0.64,44.0%,26.5%,12.2%,17.9%,38.1%
Hard,(4)Sinner d. (WC)Andy Murray [GBR],W,1.51,7.0%,1.8%,70.2%,82.5%,41.2%,1.51,56.3%,45.1%,9.9%,21.2%,65.8%
Hard,(4)Sinner d. Alejandro Davidovich Fokina [ESP],W,1.26,5.4%,2.2%,63.4%,78.0%,58.8%,1.26,52.5%,36.7%,1.8%,35.4%,40.0%
Hard,(4)Stefanos Tsitsipas [GRE] d. (11)Sinner,L,0.77,6.1%,1.5%,63.6%,71.4%,54.2%,0.77,44.4%,26.9%,5.1%,20.8%,40.0%
Hard,(11)Sinner d. (32)Alex De Minaur [AUS],W,1.22,8.1%,0.0%,62.2%,75.4%,61.9%,1.22,55.0%,36.3%,7.7%,26.7%,54.8%
Hard,(11)Sinner d. (Q)Taro Daniel [JPN],W,1.23,10.5%,2.1%,73.7%,74.3%,32.0%,1.23,53.7%,45.4%,10.2%,32.8%,61.7%
Hard,(11)Sinner d. Steve Johnson [USA],W,1.90,15.5%,2.8%,63.4%,82.2%,69.2%,1.90,58.7%,42.9%,6.0%,29.8%,59.5%
Hard,(11)Sinner d. (LL)Joao Sousa [POR],W,1.54,3.4%,2.3%,64.8%,73.7%,58.1%,1.54,58.3%,48.9%,1.1%,45.6%,54.3%
Hard,Sinner d. Roman Safiullin [RUS],W,1.02,12.2%,2.2%,61.1%,70.9%,48.6%,1.02,51.9%,38.6%,5.7%,32.6%,48.1%
Hard,Sinner d. Arthur Rinderknech [FRA],W,1.59,4.9%,4.9%,57.4%,85.7%,61.5%,1.59,55.6%,39.2%,8.1%,25.5%,63.0%
Hard,Sinner d. Max Purcell [AUS],W,2.25,14.6%,0.0%,73.2%,83.3%,54.5%,2.25,64.1%,54.9%,7.8%,32.1%,82.6%
Hard,Sinner d. Marin Cilic [CRO],W,1.19,3.3%,2.2%,62.6%,68.4%,52.9%,1.19,52.7%,44.5%,9.1%,36.4%,56.8%
Hard,Sinner d. Daniel Elahi Galan [COL],W,1.58,2.0%,0.0%,49.0%,72.0%,57.7%,1.58,60.2%,55.8%,1.9%,64.5%,42.9%
Hard,Sinner d. John Isner [USA],W,3.90,2.9%,5.9%,70.6%,87.5%,80.0%,3.90,68.2%,57.4%,13.0%,42.4%,81.0%
Hard,(9)Sinner d. (7)Hubert Hurkacz [POL],W,1.41,7.2%,0.0%,56.5%,74.4%,50.0%,1.41,58.6%,51.1%,8.5%,41.9%,68.8%
Hard,(2)Daniil Medvedev [RUS] d. (9)Sinner,L,0.78,4.8%,1.9%,61.5%,71.9%,50.0%,0.78,46.1%,28.4%,17.6%,23.6%,40.0%
Hard,(WC)Andy Murray [GBR] d. (1)Sinner,L,0.78,8.0%,1.3%,48.0%,75.0%,51.3%,0.78,47.1%,29.2%,12.3%,28.1%,30.3%
Hard,Carlos Alcaraz [ESP] d. (8)Sinner,L,0.76,5.9%,2.4%,63.5%,61.1%,58.1%,0.76,45.7%,30.4%,3.8%,20.0%,44.1%
Hard,(Q)Frances Tiafoe [USA] d. (7)Sinner,L,0.94,9.4%,3.5%,63.5%,68.5%,41.9%,0.94,47.8%,38.6%,6.9%,40.0%,36.1%
Hard,(7)Sinner d. (4)Casper Ruud [NOR],W,1.37,16.1%,0.0%,67.7%,76.2%,40.0%,1.37,56.3%,48.4%,3.1%,28.6%,63.9%
Hard,(7)Sinner d. (WC)Dennis Novak [AUT],W,1.19,3.4%,5.1%,62.7%,75.7%,54.5%,1.19,54.7%,38.3%,6.4%,27.6%,55.6%
Hard,(7)Sinner d. Reilly Opelka [USA],W,2.80,2.4%,2.4%,69.0%,93.1%,69.2%,2.80,60.9%,40.0%,16.0%,36.6%,55.6%
Hard,(1)Sinner d. (2)Diego Schwartzman [ARG],W,2.33,18.2%,4.5%,52.3%,91.3%,61.9%,2.33,64.5%,53.1%,0.0%,51.9%,54.5%
Hard,(1)Sinner d. (7)Lloyd Harris [RSA],W,1.76,3.5%,0.0%,61.4%,77.1%,59.1%,1.76,61.0%,52.5%,3.3%,45.0%,66.7%
Hard,(1)Sinner d. Arthur Rinderknech [FRA],W,2.01,8.9%,2.2%,64.4%,82.8%,68.8%,2.01,59.4%,44.6%,16.1%,18.8%,79.2%
Hard,(1)Sinner d. Lorenzo Musetti [ITA],W,1.87,3.8%,1.9%,47.2%,80.0%,75.0%,1.87,58.0%,42.4%,4.5%,39.6%,50.0%
Hard,(31)Taylor Fritz [USA] d. (10)Sinner,L,0.83,0.0%,6.2%,50.8%,60.6%,34.4%,0.83,45.3%,43.2%,8.1%,41.9%,45.2%
Hard,(10)Sinner d. (20)John Isner [USA],W,,,,,,,,,,,,
Hard,(10)Sinner d. John Millman [AUS],W,2.55,7.5%,2.5%,52.5%,85.7%,73.7%,2.55,63.7%,51.0%,2.0%,45.5%,61.1%
Hard,(1)Sinner d. (2)Gael Monfils [FRA],W,1.50,3.7%,1.9%,50.0%,92.6%,63.0%,1.50,56.2%,33.3%,7.8%,20.0%,52.4%
Hard,(1)Sinner d. (5)Filip Krajinovic [SRB],W,1.54,12.5%,1.8%,53.6%,76.7%,61.5%,1.54,56.4%,46.8%,2.6%,36.7%,64.3%
Hard,(1)Sinner d. James Duckworth [AUS],W,1.09,6.9%,4.6%,56.3%,75.5%,36.8%,1.09,52.5%,45.2%,4.1%,36.1%,54.1%
Hard,(1)Sinner d. (Q)Egor Gerasimov [BLR],W,1.47,6.0%,3.0%,53.7%,80.6%,58.1%,1.47,57.3%,43.8%,3.1%,30.8%,64.0%
Hard,(4)Alexander Zverev [GER] d. (13)Sinner,L,0.89,4.7%,1.9%,60.4%,73.4%,50.0%,0.89,47.9%,31.8%,15.9%,27.4%,41.2%
Hard,(13)Sinner d. (17)Gael Monfils [FRA],W,1.12,3.0%,3.0%,56.0%,68.8%,54.8%,1.12,52.1%,41.8%,12.4%,27.0%,62.9%
Hard,(13)Sinner d. (WC)Zachary Svajda [USA],W,1.10,5.1%,1.9%,56.1%,78.4%,46.4%,1.10,52.5%,39.3%,5.0%,29.4%,54.5%
Hard,(13)Sinner d. (WC)Max Purcell [AUS],W,1.36,11.1%,3.7%,53.7%,75.9%,60.0%,1.36,54.7%,42.7%,9.7%,29.7%,56.7%
Hard,John Isner [USA] d. (11)Sinner,L,1.13,11.1%,2.0%,53.5%,84.9%,58.7%,1.13,50.7%,30.9%,10.9%,21.3%,56.7%
Hard,(11)Sinner d. Federico Delbonis [ARG],W,1.32,9.0%,0.0%,64.2%,74.4%,45.8%,1.32,55.4%,47.2%,1.4%,31.7%,67.7%
Hard,(Q)James Duckworth [AUS] d. (16)Sinner,L,0.69,5.0%,3.3%,63.3%,76.3%,40.9%,0.69,44.5%,25.4%,1.7%,22.2%,35.7%
Hard,(5)Sinner d. Mackenzie Mcdonald [USA],W,,,,,,,,,,,,
Hard,(5)Sinner d. (WC)Jenson Brooksby [USA],W,1.86,10.5%,1.8%,52.6%,83.3%,70.4%,1.86,59.5%,42.4%,0.0%,40.0%,47.4%
Hard,(5)Sinner d. Steve Johnson [USA],W,1.84,13.7%,2.0%,56.9%,93.1%,54.5%,1.84,59.6%,43.4%,3.8%,34.6%,51.9%
Hard,(5)Sinner d. (12)Sebastian Korda [USA],W,1.12,3.6%,6.0%,51.8%,72.1%,55.0%,1.12,52.5%,40.5%,2.5%,25.0%,70.4%
Hard,(5)Sinner d. Emil Ruusuvuori [FIN],W,1.80,6.1%,0.0%,40.8%,85.0%,69.0%,1.80,58.3%,44.1%,3.4%,37.9%,50.0%
Hard,(Q)Christopher Oconnell [AUS] d. (2)Sinner,L,0.95,7.2%,2.9%,60.9%,81.0%,51.9%,0.95,48.6%,28.8%,12.3%,24.0%,39.1%
Grass,Marton Fucsovics [HUN] d. (19)Sinner,L,0.89,1.5%,3.8%,56.8%,65.3%,42.1%,0.89,47.2%,39.6%,4.3%,24.3%,56.9%
Grass,(WC)Jack Draper [GBR] d. (3)Sinner,L,0.81,8.5%,4.3%,63.8%,70.0%,41.2%,0.81,47.4%,32.9%,13.9%,26.4%,46.2%
Clay,(3)Rafael Nadal [ESP] d. (18)Sinner,L,0.59,0.0%,5.3%,65.8%,42.0%,38.5%,0.59,37.7%,34.9%,4.8%,18.8%,57.1%
Clay,(18)Sinner d. Mikael Ymer [SWE],W,1.50,5.4%,3.3%,56.5%,80.8%,52.5%,1.50,57.1%,47.2%,0.0%,40.8%,60.0%
Clay,(18)Sinner d. Gianluca Mager [ITA],W,1.53,8.2%,0.0%,60.8%,76.3%,71.1%,1.53,55.1%,39.3%,4.3%,34.3%,46.8%
Clay,(18)Sinner d. Pierre Hugues Herbert [FRA],W,1.19,3.2%,2.6%,61.7%,68.4%,59.3%,1.19,53.4%,41.7%,8.6%,32.9%,51.4%
Clay,(LL)Arthur Rinderknech [FRA] d. (6)Sinner,L,0.84,5.6%,1.9%,62.0%,67.2%,46.3%,0.84,47.1%,34.3%,9.8%,28.0%,51.9%
Clay,(6)Sinner d. Aslan Karatsev [RUS],W,0.95,3.4%,2.2%,64.0%,57.9%,53.1%,0.95,48.6%,41.5%,3.2%,36.5%,47.6%
Clay,(2)Rafael Nadal [ESP] d. Sinner,L,0.79,1.3%,2.6%,53.8%,59.5%,44.4%,0.79,46.0%,37.7%,0.0%,30.0%,45.2%
Clay,Sinner d. Ugo Humbert [FRA],W,1.45,0.0%,2.0%,59.2%,72.4%,60.0%,1.45,55.4%,47.2%,2.8%,47.2%,47.2%
Clay,(Q)Alexei Popyrin [AUS] d. (14)Sinner,L,0.85,0.0%,3.0%,56.7%,63.2%,41.4%,0.85,46.1%,39.2%,10.8%,25.0%,60.0%
Clay,(14)Sinner d. Guido Pella [ARG],W,1.83,14.6%,2.4%,63.4%,80.8%,66.7%,1.83,59.1%,44.7%,2.1%,41.4%,50.0%
Clay,(2)Stefanos Tsitsipas [GRE] d. (11)Sinner,L,0.73,1.9%,3.7%,51.9%,57.1%,57.7%,0.73,43.5%,31.1%,3.3%,28.3%,40.0%
Clay,(11)Sinner d. (3)Andrey Rublev [RUS],W,1.20,5.8%,2.9%,59.4%,63.4%,60.7%,1.20,54.1%,45.3%,1.6%,34.4%,56.3%
Clay,(11)Sinner d. (5)Roberto Bautista Agut [ESP],W,1.18,6.7%,0.0%,67.8%,68.9%,48.3%,1.18,54.8%,44.6%,1.5%,38.3%,61.1%
Clay,(11)Sinner d. Egor Gerasimov [BLR],W,1.58,10.2%,0.0%,65.3%,81.3%,52.9%,1.58,57.8%,45.3%,1.9%,36.0%,53.6%
Clay,(1)Novak Djokovic [SRB] d. Sinner,L,0.76,1.4%,4.1%,63.0%,47.8%,51.9%,0.76,44.6%,38.6%,0.0%,40.5%,35.0%
Clay,Sinner d. Albert Ramos [ESP],W,1.36,7.1%,1.8%,58.9%,78.8%,52.2%,1.36,55.8%,43.9%,0.0%,42.9%,45.5%
Hard,(26)Hubert Hurkacz [POL] d. (21)Sinner,L,0.86,1.3%,6.4%,60.3%,55.3%,48.4%,0.86,46.9%,40.6%,4.3%,30.6%,65.0%
Hard,(21)Sinner d. (7)Roberto Bautista Agut [ESP],W,1.06,5.0%,2.0%,65.0%,64.6%,57.1%,1.06,51.9%,40.4%,2.2%,36.7%,48.3%
Hard,(21)Sinner d. (32)Alexander Bublik [KAZ],W,1.13,2.5%,3.7%,64.2%,63.5%,58.6%,1.13,52.1%,43.2%,8.0%,36.5%,52.8%
Hard,(21)Sinner d. Emil Ruusuvuori [FIN],W,1.34,7.5%,1.9%,73.6%,71.8%,50.0%,1.34,56.6%,45.7%,0.0%,46.4%,44.4%
Hard,(21)Sinner d. (14)Karen Khachanov [RUS],W,1.06,0.0%,3.6%,64.0%,70.4%,57.5%,1.06,50.7%,36.4%,2.5%,31.9%,42.9%
Hard,(21)Sinner d. (WC)Hugo Gaston [FRA],W,1.60,6.4%,4.3%,57.4%,81.5%,60.0%,1.60,57.6%,44.2%,0.0%,33.3%,56.0%
Hard,(WC)Aslan Karatsev [RUS] d. (16)Sinner,L,0.74,9.2%,3.7%,56.9%,64.5%,51.1%,0.74,45.8%,30.4%,6.5%,21.0%,50.0%
Hard,(16)Sinner d. (4)Roberto Bautista Agut [ESP],W,0.80,15.8%,3.0%,63.4%,78.1%,37.8%,0.80,48.1%,29.3%,6.1%,20.8%,44.8%
Hard,(16)Sinner d. Alexander Bublik [KAZ],W,1.17,2.4%,2.4%,60.7%,70.6%,78.8%,1.17,51.4%,30.8%,15.4%,12.5%,51.2%
Hard,(1)Daniil Medvedev [RUS] d. (5)Sinner,L,0.61,3.6%,0.0%,60.7%,58.8%,54.5%,0.61,42.5%,26.0%,14.0%,20.0%,40.0%
Hard,(5)Sinner d. (WC)Hugo Gaston [FRA],W,1.70,9.8%,2.0%,52.9%,88.9%,50.0%,1.70,60.8%,50.0%,4.3%,44.4%,57.9%
Hard,(5)Sinner d. Gregoire Barrere [FRA],W,0.95,4.6%,0.8%,67.7%,63.6%,59.5%,0.95,50.0%,35.7%,9.8%,23.2%,55.8%
Hard,Aljaz Bedene [SLO] d. (5)Sinner,L,1.17,5.8%,1.2%,62.8%,70.4%,62.5%,1.17,51.0%,38.0%,13.0%,26.8%,50.0%
Hard,(11)Denis Shapovalov [CAN] d. Sinner,L,0.96,2.8%,2.8%,70.3%,66.7%,55.8%,0.96,48.7%,35.0%,7.6%,25.3%,51.7%
Hard,(4)Sinner d. Stefano Travaglia [ITA],W,1.19,0.0%,1.2%,55.4%,56.5%,64.9%,1.19,53.4%,47.4%,2.1%,38.9%,58.5%
Hard,(4)Sinner d. (2)Karen Khachanov [RUS],W,1.08,7.9%,2.4%,61.1%,67.5%,53.1%,1.08,51.6%,41.1%,4.8%,40.3%,42.6%
Hard,(4)Sinner d. (7)Miomir Kecmanovic [SRB],W,1.10,13.2%,1.1%,62.6%,70.2%,50.0%,1.10,52.3%,41.2%,1.2%,37.5%,48.3%
Hard,(4)Sinner d. (13)Aljaz Bedene [SLO],W,1.25,13.2%,2.9%,64.7%,79.5%,58.3%,1.25,54.7%,35.0%,11.7%,25.7%,48.0%
Hard,(4)Sinner d. Aleksandar Vukic [AUS],W,1.69,10.2%,0.0%,67.3%,75.8%,75.0%,1.69,57.8%,41.5%,7.5%,35.5%,50.0%
Hard,Sinner d. Vasek Pospisil [CAN],W,0.97,4.3%,5.4%,65.2%,75.0%,56.3%,0.97,48.9%,30.6%,14.3%,21.0%,47.2%
Hard,Sinner d. (5)Adrian Mannarino [FRA],W,1.01,12.7%,4.2%,50.7%,80.6%,54.3%,1.01,52.8%,32.7%,1.9%,28.9%,42.9%
Hard,Sinner d. (3)Alex De Minaur [AUS],W,1.30,4.5%,4.5%,60.7%,79.6%,48.6%,1.30,53.8%,42.5%,1.9%,33.3%,57.5%
Hard,Sinner d. (LL)Marc Andrea Huesler [SUI],W,1.55,10.0%,1.7%,61.7%,86.5%,56.5%,1.55,56.6%,38.7%,14.5%,27.8%,53.8%
Hard,Sinner d. Marton Fucsovics [HUN],W,1.32,3.4%,3.4%,55.2%,68.8%,50.0%,1.32,55.8%,52.5%,7.5%,44.4%,62.9%
Hard,(5)Andrey Rublev [RUS] d. (WC)Sinner,L,0.00,0.0%,0.0%,72.7%,62.5%,33.3%,0.00,40.0%,0.0%,50.0%,0.0%,0.0%
Hard,(WC)Sinner d. Casper Ruud [NOR],W,1.37,8.2%,6.8%,56.2%,75.6%,62.5%,1.37,55.4%,41.3%,5.3%,34.7%,53.8%
Hard,(1)Alexander Zverev [GER] d. (WC)Sinner,L,0.89,1.6%,8.2%,60.7%,62.2%,45.8%,0.89,46.4%,39.2%,8.9%,21.3%,65.6%
Hard,(WC)Sinner d. Gilles Simon [FRA],W,1.05,1.0%,2.0%,65.3%,59.1%,48.6%,1.05,51.7%,46.8%,2.5%,40.5%,54.1%
Hard,(WC)Sinner d. (Q)Pierre Hugues Herbert [FRA],W,1.43,3.8%,3.8%,69.2%,66.7%,43.8%,1.43,58.7%,57.7%,0.0%,41.4%,78.3%
Hard,(WC)Sinner d. (LL)James Duckworth [AUS],W,2.14,0.0%,0.0%,68.1%,78.1%,60.0%,2.14,65.9%,59.1%,4.5%,47.6%,69.6%
Clay,(2)Rafael Nadal [ESP] d. Sinner,L,0.76,2.2%,3.2%,67.7%,57.1%,43.3%,0.76,44.2%,36.1%,0.0%,33.3%,41.2%
Clay,Sinner d. (6)Alexander Zverev [GER],W,1.07,2.1%,4.2%,56.6%,71.6%,53.2%,1.07,53.0%,38.9%,2.8%,28.2%,59.5%
Clay,Sinner d. Federico Coria [ARG],W,1.22,0.0%,2.0%,67.0%,64.2%,51.5%,1.22,54.0%,48.6%,1.8%,48.1%,50.0%
Clay,Sinner d. (Q)Benjamin Bonzi [FRA],W,1.33,3.2%,2.2%,67.7%,65.1%,63.3%,1.33,56.2%,47.1%,0.0%,41.7%,54.1%
Clay,Sinner d. (11)David Goffin [BEL],W,1.56,2.5%,2.5%,67.5%,77.8%,46.2%,1.56,58.7%,50.6%,1.1%,41.2%,63.9%
Clay,(15)Grigor Dimitrov [BUL] d. (WC)Sinner,L,0.88,0.9%,3.8%,62.3%,66.7%,42.5%,0.88,48.4%,37.2%,0.0%,30.0%,47.2%
Clay,(WC)Sinner d. (3)Stefanos Tsitsipas [GRE],W,1.57,1.2%,1.2%,67.9%,69.1%,69.2%,1.57,57.7%,48.5%,5.0%,46.7%,51.2%
Clay,(WC)Sinner d. Benoit Paire [FRA],W,1.90,7.8%,0.0%,70.6%,72.2%,73.3%,1.90,62.6%,52.1%,8.3%,44.0%,60.9%
Clay,(Q)Laslo Djere [SRB] d. (WC)Sinner,L,0.63,1.6%,0.0%,49.2%,71.0%,46.9%,0.63,44.2%,26.0%,2.0%,9.1%,39.3%
Clay,(WC)Sinner d. (WC)Philipp Kohlschreiber [GER],W,2.00,11.4%,0.0%,59.1%,84.6%,61.1%,2.00,61.7%,50.0%,2.0%,46.7%,55.0%
Hard,(11)Karen Khachanov [RUS] d. Sinner,L,0.76,6.3%,2.6%,56.5%,74.1%,44.6%,0.76,46.9%,29.6%,11.3%,22.2%,41.7%
Hard,Salvatore Caruso [ITA] d. (14)Sinner,L,0.84,2.3%,1.1%,49.4%,72.1%,36.4%,0.84,46.3%,38.6%,9.1%,25.0%,52.3%
Hard,(11)Denis Kudla [USA] d. (6)Sinner,L,1.04,4.5%,1.1%,55.7%,71.4%,53.8%,1.04,49.0%,37.7%,6.1%,25.4%,52.9%
Hard,(6)Sinner d. (Q)Sem Verbeek [NED],W,3.68,5.9%,0.0%,58.8%,90.0%,71.4%,3.68,73.2%,64.9%,2.7%,55.0%,76.5%
Hard,(1)Daniil Medvedev [RUS] d. Sinner,L,0.56,1.5%,1.5%,61.2%,58.5%,46.2%,0.56,40.8%,25.9%,12.1%,20.7%,31.0%
Hard,Sinner d. (Q)Norbert Gombos [SVK],W,1.10,10.7%,2.4%,54.8%,78.3%,52.6%,1.10,52.9%,36.6%,5.6%,34.2%,39.4%
Hard,Pablo Carreno Busta [ESP] d. (WC)Sinner,L,1.04,8.0%,0.9%,60.2%,79.4%,46.7%,1.04,50.2%,35.0%,5.0%,29.6%,46.2%
Hard,(WC)Sinner d. (4)David Goffin [BEL],W,1.28,6.1%,0.0%,64.6%,71.7%,55.2%,1.28,53.6%,43.6%,5.9%,39.0%,50.0%
Hard,(WC)Sinner d. Radu Albot [MDA],W,,,,,,,,,,,,
Hard,Mikael Ymer [SWE] d. Sinner,L,0.74,3.8%,5.8%,59.6%,71.0%,33.3%,0.74,43.6%,32.8%,5.2%,23.7%,50.0%
Hard,Marton Fucsovics [HUN] d. Sinner,L,0.81,0.0%,4.0%,54.5%,65.5%,37.0%,0.81,46.0%,38.6%,6.8%,30.9%,51.5%
Hard,Sinner d. (Q)Max Purcell [AUS],W,1.39,2.2%,1.1%,58.2%,79.2%,52.6%,1.39,55.3%,44.3%,2.8%,40.8%,51.4%
Hard,(5)Benoit Paire [FRA] d. (WC)Sinner,L,0.98,5.3%,3.2%,66.0%,72.6%,37.5%,0.98,49.0%,38.7%,10.4%,30.3%,52.5%
Hard,Emil Ruusuvuori [FIN] d. (3)Sinner,L,0.65,13.6%,5.1%,59.3%,71.4%,33.3%,0.65,42.6%,28.6%,14.3%,20.5%,47.1%
Hard,(2)Sinner d. (10)Sebastian Ofner [AUT],W,1.79,12.8%,4.3%,63.8%,83.3%,58.8%,1.79,57.3%,45.7%,10.0%,35.6%,64.0%
Hard,(2)Sinner d. (6)Antoine Hoang [FRA],W,1.47,6.3%,3.1%,50.0%,90.6%,65.6%,1.47,56.1%,32.2%,6.8%,24.4%,50.0%
Hard,(2)Sinner d. (8)Federico Gaio [ITA],W,1.47,16.1%,3.6%,51.8%,75.9%,66.7%,1.47,55.2%,42.0%,20.3%,26.5%,57.1%
Hard,(2)Sinner d. (13)Roberto Marcora [ITA],W,1.62,11.5%,7.7%,55.8%,86.2%,65.2%,1.62,55.9%,37.3%,11.9%,23.5%,56.0%
Hard,(2)Sinner d. Lucas Miedler [AUT],W,1.49,19.5%,3.9%,67.5%,86.5%,52.0%,1.49,53.7%,36.7%,7.1%,35.9%,38.2%
Hard,(8)Sinner d. (1)Alex De Minaur [AUS],W,1.51,3.8%,1.9%,67.3%,74.3%,58.8%,1.51,59.1%,46.3%,4.9%,32.1%,76.9%
Hard,(8)Sinner d. (5)Miomir Kecmanovic [SRB],W,1.18,7.7%,3.1%,55.4%,75.0%,65.5%,1.18,53.7%,34.5%,3.4%,30.0%,44.4%
Hard,(8)Sinner d. (2)Frances Tiafoe [USA],W,1.13,19.7%,5.6%,62.0%,84.1%,51.9%,1.13,52.1%,31.9%,10.1%,21.3%,54.5%
Hard,(3)Ugo Humbert [FRA] d. (8)Sinner,L,1.02,5.3%,0.0%,61.3%,78.3%,55.2%,1.02,50.0%,31.2%,14.3%,26.1%,38.7%
Hard,(8)Sinner d. (6)Mikael Ymer [SWE],W,1.92,9.1%,4.5%,72.7%,84.4%,41.7%,1.92,62.5%,52.3%,4.5%,50.0%,57.1%
Hard,(4)Gael Monfils [FRA] d. (WC)Sinner,L,0.90,5.6%,1.4%,56.3%,77.5%,51.6%,0.90,47.3%,30.4%,21.5%,16.7%,51.6%
Hard,(WC)Sinner d. (Q)Philipp Kohlschreiber [GER],W,1.24,9.5%,1.4%,59.5%,77.3%,46.7%,1.24,55.1%,43.5%,12.9%,30.6%,61.5%
Hard,(4)Stan Wawrinka [SUI] d. (WC)Sinner,L,0.54,2.0%,0.0%,58.0%,58.6%,42.9%,0.54,39.6%,26.1%,17.4%,19.2%,35.0%
Hard,(WC)Sinner d. Frances Tiafoe [USA],W,1.10,12.5%,2.5%,63.7%,80.4%,51.7%,1.10,51.6%,32.9%,8.9%,28.3%,47.4%
Hard,(WC)Sinner d. (1)Gael Monfils [FRA],W,2.09,4.5%,2.3%,47.7%,81.0%,73.9%,2.09,60.2%,47.5%,15.3%,44.4%,52.2%
Hard,(WC)Sinner d. (Q)Kamil Majchrzak [POL],W,1.40,5.8%,0.0%,61.5%,68.8%,65.0%,1.40,55.9%,45.8%,6.8%,39.4%,53.8%
Hard,Mathias Bourgue [FRA] d. (14)Sinner,L,1.24,8.0%,0.0%,66.7%,69.0%,69.0%,1.24,50.9%,38.6%,12.6%,29.3%,62.9%
Hard,(14)Sinner d. (6)Marius Copil [ROU],W,1.06,6.2%,3.1%,58.8%,68.4%,47.5%,1.06,52.0%,42.7%,18.3%,32.7%,57.6%
